userType|date|users|sessions|bounceRate|avgSessionDuration|goalConversionRateAll|pageviews
New Visitor|20150101|795|795|0.0|1146.8339622641508|0.0|12151
Returning Visitor|20150101|497|517|7.7369439071566735|2282.642166344294|3.8684719535783367|14537
New Visitor|20150102|1173|1173|3.410059676044331|1196.2796248934355|0.0|18773
Returning Visitor|20150102|1293|1492|4.021447721179625|1353.23927613941|5.361930294906166|23566
New Visitor|20150103|636|636|3.1446540880503147|1077.7358490566037|0.0|10858
Returning Visitor|20150103|974|1153|5.203816131830009|1322.0017346053774|5.203816131830009|21100
New Visitor|20150104|875|875|0.0|1000.3428571428572|0.0|13006
Returning Visitor|20150104|776|855|0.0|1040.6994152046784|2.3391812865497075|13662
New Visitor|20150105|795|795|0.0|1042.3459119496856|0.0|10222
Returning Visitor|20150105|1253|1372|5.830903790087463|1059.8010204081634|1.4577259475218658|20145
New Visitor|20150106|1034|1034|0.0|998.1895551257253|0.0|16267
Returning Visitor|20150106|1651|1790|2.2346368715083798|1441.9972067039107|3.35195530726257|30506
New Visitor|20150107|1253|1233|1.6220600162206|1121.7607461476075|0.0|18037
Returning Visitor|20150107|1313|1372|1.4577259475218658|1269.454081632653|0.0|22154
New Visitor|20150108|1432|1432|0.0|780.9203910614525|1.3966480446927374|14498
Returning Visitor|20150108|1551|1690|3.5502958579881656|1122.1011834319527|1.183431952662722|23864
New Visitor|20150109|636|636|0.0|958.4150943396227|0.0|8154
Returning Visitor|20150109|835|835|0.0|1374.2407185628742|0.0|14895
New Visitor|20150110|756|756|2.6455026455026456|1013.5462962962963|2.6455026455026456|9943
Returning Visitor|20150110|875|955|8.37696335078534|1145.2743455497382|2.094240837696335|13284
New Visitor|20150111|776|776|0.0|1273.9123711340205|2.5773195876288657|15392
Returning Visitor|20150111|974|1034|0.0|1547.3665377176017|1.9342359767891684|22790
New Visitor|20150112|1750|1750|0.0|906.9428571428572|0.0|24322
Returning Visitor|20150112|1631|1810|1.1049723756906076|1037.6762430939227|2.209944751381215|26708
New Visitor|20150113|1153|1153|0.0|1152.8169991326972|1.7346053772766694|15015
Returning Visitor|20150113|1352|1531|3.9190071848465053|1177.5068582625736|5.225342913128674|21697
New Visitor|20150114|1153|1153|0.0|1033.444058976583|0.0|14219
Returning Visitor|20150114|1670|1810|2.209944751381215|932.1773480662984|0.0|23387
New Visitor|20150115|1551|1551|1.2894906511927788|851.7369439071567|1.2894906511927788|20483
Returning Visitor|20150115|1651|1750|4.571428571428571|1040.696|0.0|22691
New Visitor|20150116|1193|1193|0.0|887.8407376362112|1.6764459346186085|13782
Returning Visitor|20150116|1293|1332|1.5015015015015014|1270.8626126126126|1.5015015015015014|27026
New Visitor|20150117|736|736|0.0|1067.648097826087|2.717391304347826|9148
Returning Visitor|20150117|955|1014|3.9447731755424065|1099.6410256410256|3.9447731755424065|15472
New Visitor|20150118|875|875|2.2857142857142856|999.4114285714286|0.0|11495
Returning Visitor|20150118|955|1034|1.9342359767891684|1114.6827852998065|0.0|19091
New Visitor|20150119|1531|1531|0.0|883.6858262573481|0.0|18714
Returning Visitor|20150119|2148|2327|4.254404813064031|978.0709067468844|0.8594757198109154|32117
New Visitor|20150120|1531|1531|1.3063357282821686|1049.4049640757676|1.3063357282821686|19847
Returning Visitor|20150120|1869|1929|1.0368066355624677|1060.931052358735|1.0368066355624677|25753
New Visitor|20150121|1273|1273|0.0|1001.2010997643362|0.0|21955
Returning Visitor|20150121|1869|1989|4.022121669180493|1146.5384615384614|1.0055304172951232|27325
New Visitor|20150122|1313|1313|0.0|781.2520944402132|0.0|15472
Returning Visitor|20150122|1631|1849|3.244997295835587|1114.7934018388319|0.0|21537
New Visitor|20150123|1034|1034|0.0|818.5154738878143|1.9342359767891684|11594
Returning Visitor|20150123|1293|1332|0.0|1442.617867867868|0.0|24600
New Visitor|20150124|676|676|0.0|1082.5103550295858|0.0|11117
Returning Visitor|20150124|656|756|2.6455026455026456|1056.1600529100529|0.0|10759
New Visitor|20150125|795|795|0.0|771.8603773584906|2.515723270440252|8730
Returning Visitor|20150125|875|1014|7.889546351084813|673.9566074950691|0.0|9705
New Visitor|20150126|1511|1511|1.3236267372600927|823.4156187954997|0.0|18216
Returning Visitor|20150126|1571|1651|1.2113870381586918|1317.37492428831|0.0|27941
New Visitor|20150127|1531|1531|0.0|1193.328543435663|0.0|23128
Returning Visitor|20150127|1273|1352|5.9171597633136095|902.2485207100592|1.4792899408284024|16327
New Visitor|20150128|1432|1432|0.0|815.0|0.0|16327
Returning Visitor|20150128|1631|1750|3.428571428571429|1347.204|5.6571428571428575|30407
New Visitor|20150129|1233|1233|0.0|1049.051905920519|1.6220600162206|17302
Returning Visitor|20150129|1452|1531|5.225342913128674|893.3109079033312|1.3063357282821686|17640
New Visitor|20150130|1372|1372|0.0|1115.5189504373177|0.0|20424
Returning Visitor|20150130|1392|1551|3.8684719535783367|924.2707930367504|2.5789813023855577|18495
New Visitor|20150131|597|597|0.0|1031.817420435511|0.0|7756
Returning Visitor|20150131|776|815|4.9079754601226995|971.5030674846626|2.4539877300613497|12867
New Visitor|20150201|557|557|3.5906642728904847|1441.9228007181327|0.0|9924
Returning Visitor|20150201|716|815|4.9079754601226995|1048.317791411043|0.0|10918
New Visitor|20150202|736|736|2.717391304347826|854.9184782608696|5.434782608695652|8830
Returning Visitor|20150202|756|776|2.5773195876288657|1340.5180412371135|2.5773195876288657|12051
New Visitor|20150203|1273|1273|1.5710919088766693|1068.625294579733|1.5710919088766693|20066
Returning Visitor|20150203|1452|1591|3.7712130735386546|1208.9107479572597|5.02828409805154|23148
New Visitor|20150204|1412|1412|0.0|930.1048158640226|1.41643059490085|17441
Returning Visitor|20150204|974|1034|0.0|1276.9516441005803|0.0|20881
New Visitor|20150205|1293|1293|0.0|1042.1299303944315|4.640371229698376|20285
Returning Visitor|20150205|1372|1432|0.0|1001.6201117318436|4.189944134078212|19370
New Visitor|20150206|776|776|0.0|972.2010309278351|2.5773195876288657|10759
Returning Visitor|20150206|1293|1313|3.0464584920030466|1148.5148514851485|0.0|19748
New Visitor|20150207|557|557|0.0|1376.4775583482945|3.5906642728904847|9884
Returning Visitor|20150207|656|696|0.0|1683.6681034482758|0.0|15452
New Visitor|20150208|656|656|0.0|1645.8795731707316|0.0|13384
Returning Visitor|20150208|815|955|6.282722513089005|1225.655497382199|0.0|16347
New Visitor|20150209|1273|1273|0.0|819.4697564807541|0.0|17500
Returning Visitor|20150209|1810|1969|5.027932960893855|1059.4271203656679|1.015744032503809|29592
New Visitor|20150210|855|855|0.0|1095.4514619883041|0.0|13404
Returning Visitor|20150210|1492|1631|1.226241569589209|976.6382587369712|0.0|24421
New Visitor|20150211|855|855|2.3391812865497075|1005.0421052631579|0.0|10262
Returning Visitor|20150211|1690|1790|2.2346368715083798|884.0206703910615|0.0|22432
New Visitor|20150212|1034|1014|1.9723865877712032|868.3145956607495|1.9723865877712032|12012
Returning Visitor|20150212|1492|1551|2.5789813023855577|1182.5822050290135|2.5789813023855577|21657
New Visitor|20150213|815|815|0.0|791.5460122699386|7.361963190184049|10103
Returning Visitor|20150213|1134|1213|1.6488046166529264|829.6900247320692|0.0|13921
New Visitor|20150214|497|497|0.0|733.7323943661971|0.0|5171
Returning Visitor|20150214|855|915|10.819672131147541|1049.1562841530056|0.0|13722
New Visitor|20150215|815|815|2.4539877300613497|987.8282208588957|4.9079754601226995|11336
Returning Visitor|20150215|815|935|2.13903743315508|1015.0802139037434|0.0|14080
New Visitor|20150216|1352|1352|1.4792899408284024|863.0044378698225|2.9585798816568047|16804
Returning Visitor|20150216|1591|1730|0.0|1108.5601156069365|3.4682080924855487|26648
New Visitor|20150217|1392|1392|0.0|1038.4885057471265|1.4367816091954022|17660
Returning Visitor|20150217|1869|1929|0.0|883.928978745464|0.0|24481
New Visitor|20150218|1153|1153|0.0|952.9653078924545|0.0|14776
Returning Visitor|20150218|1293|1352|0.0|1125.6079881656806|2.9585798816568047|17083
New Visitor|20150219|1114|1114|0.0|850.9928186714542|0.0|14398
Returning Visitor|20150219|1432|1551|2.5789813023855577|1107.4706640876855|0.0|22154
New Visitor|20150220|1134|1134|0.0|1203.347442680776|1.763668430335097|17520
Returning Visitor|20150220|1273|1313|0.0|1278.5597867479055|0.0|22472
New Visitor|20150221|736|736|0.0|1056.6236413043478|0.0|11753
Returning Visitor|20150221|776|835|2.3952095808383236|1296.2419161676646|0.0|14557
New Visitor|20150222|1173|1173|0.0|1006.4987212276214|0.0|16924
Returning Visitor|20150222|815|875|0.0|1383.784|4.571428571428571|17719
New Visitor|20150223|1591|1591|0.0|705.8271527341295|0.0|16685
Returning Visitor|20150223|1651|1710|2.3391812865497075|1192.6877192982456|2.3391812865497075|28816
