Clav_HotelEAN,HotelEan,Latitude,Longitude
1,203781,38.73673000000000000000000,-85.44980000000000000000000
2,117956,27.70934000000000000000000,-97.37848000000000000000000
3,118881,33.90950000000000000000000,-84.21083000000000000000000
4,180896,34.07699000000000000000000,-80.94506000000000000000000
5,266128,33.48420000000000000000000,-86.70552000000000000000000
6,126778,41.13237000000000000000000,-85.16227000000000000000000
7,109489,26.12174000000000000000000,-80.16457000000000000000000
8,152818,39.05043000000000000000000,-94.36080000000000000000000
9,127680,34.43614000000000000000000,-79.36981000000000000000000
10,126137,47.49200000000000000000000,-94.89601000000000000000000
11,268166,38.65424000000000000000000,-77.28514000000000000000000
12,107760,38.96786000000000000000000,-92.37270000000000000000000
13,348086,36.00829000000000000000000,-80.44312000000000000000000
14,133823,39.74836000000000000000000,-89.70859000000000000000000
15,243598,42.33537000000000000000000,-73.36959000000000000000000
16,153645,37.61149000000000000000000,-77.35495000000000000000000
17,277558,34.04659000000000000000000,-117.31732000000000000000000
18,148997,41.93673000000000000000000,-84.97670000000000000000000
19,264992,43.40795000000000000000000,-79.73573000000000000000000
20,218932,39.62945000000000000000000,-106.41898000000000000000000
21,148504,44.45370000000000000000000,-73.11011000000000000000000
22,199035,29.99332000000000000000000,-81.47196000000000000000000
23,105954,32.44344000000000000000000,-93.72531000000000000000000
24,149406,38.51063000000000000000000,-90.33424000000000000000000
25,121723,32.90523000000000000000000,-83.68724000000000000000000
26,263681,39.16753000000000000000000,-86.57107000000000000000000
27,269168,35.46945000000000000000000,-83.31653000000000000000000
28,162542,44.49919000000000000000000,-88.05024000000000000000000
29,242364,43.30019000000000000000000,-70.58660000000000000000000
30,227213,30.03674000000000000000000,-95.25604000000000000000000
31,277919,45.51578000000000000000000,-73.56494000000000000000000
32,108021,38.97967000000000000000000,-95.25900000000000000000000
33,141981,37.64511000000000000000000,-77.57586000000000000000000
34,120564,41.68180000000000000000000,-91.56223000000000000000000
35,256502,37.08139000000000000000000,-113.58019000000000000000000
36,181328,26.70317000000000000000000,-80.04103000000000000000000
37,152409,35.71935000000000000000000,-84.32360000000000000000000
38,108662,43.51294000000000000000000,-96.78300000000000000000000
39,230362,25.08371000000000000000000,-77.31955000000000000000000
40,193230,45.50200000000000000000000,-73.57676000000000000000000
41,185799,41.88681000000000000000000,-87.62632000000000000000000
42,352623,30.10307000000000000000000,-97.33495000000000000000000
43,107551,35.92892000000000000000000,-89.88041000000000000000000
