Clav_ServicioEAN,AttributeID,LanguageCode,AttributeDesc,Clav_Servicio
1,1,en_US,Air conditioning,AIREACO
2,3,en_US,Bar/lounge,BAR
3,6,en_US,Babysitting or childcare,BABYSITT
4,8,en_US,Elevator/lift,ELEVADOR
5,9,en_US,Fitness facilities,GYM
6,10,en_US,Airport transportation (complimentary),TRANSPOR
7,14,en_US,Swimming pool - indoor,POOL
8,19,en_US,Restaurant,RESTAUR
9,20,en_US,Room service (limited hours),RSERV
10,24,en_US,Swimming pool - outdoor,POOL
11,26,en_US,Television,TV
12,28,en_US,Valet parking,PARKING
13,31,en_US,Caters to singles,IGNORE
14,32,en_US,Caters to couples,IGNORE
15,33,en_US,Caters to seniors,IGNORE
16,36,en_US,Caters to families,IGNORE
17,37,en_US,Caters to groups,IGNORE
18,38,en_US,Supervised childcare/activities,BABYSITT
19,40,en_US,Hair salon,BEAUTY
20,41,en_US,ATM/banking,ATM
21,43,en_US,Concierge services,CONCIER
22,44,en_US,Gift shops or newsstand,GIFT
23,45,en_US,Shopping on site,GIFT
24,51,en_US,Pets allowed,PETFRIEN
25,52,en_US,Total number of rooms - ,IGNORE
26,54,en_US,Number of floors - ,IGNORE
27,55,en_US,Number of buildings/towers - ,IGNORE
28,56,en_US,Airport transportation (surcharge),TRANSPOR
29,57,en_US,Caters to women only,IGNORE
30,58,en_US,Caters to men only,IGNORE
31,81,en_US,Multiple large conference rooms,MEETING
32,82,en_US,Event catering,CONVENTI
33,83,en_US,Audiovisual equipment,CONVENTI
34,84,en_US,Cell phone/mobile rental,CALLS
35,91,en_US,Secretarial services,BUSSINES
36,92,en_US,Translation services,BUSSINES
37,121,en_US,Wheelchair accessible,HANDIC
38,122,en_US,VCR,DVD
39,127,en_US,Wake-up calls,WAKEUP
40,128,en_US,Complimentary newspaper,SPECFEAT
41,129,en_US,Cooking facilities,SPECFEAT
42,130,en_US,Refrigerator,MINIFRID
43,131,en_US,Minibar,MINIFRID
44,132,en_US,Coffee/tea maker,COFFE
45,133,en_US,Daily housekeeping,ZIGNORE
46,134,en_US,Extra towels/bedding,COMFORTFEATURES
47,135,en_US,Hypo-allergenic bedding available,COMFORTFEATURES
48,136,en_US,Phone,TELEP
49,137,en_US,Multi-line phone,TELEP
50,139,en_US,Free local calls,CALLS
51,140,en_US,Fax machine,TELEP
52,141,en_US,Private bathroom,ZIGNORE
53,142,en_US,Bathrobes,BATHROOMFEATURES
54,143,en_US,Complimentary toiletries,BATHROOMFEATURES
55,144,en_US,Hair dryer,BATHROOMFEATURES
56,145,en_US,Iron/ironing board,ZIGNORE
57,146,en_US,In-room safe,SAFEDEP
58,147,en_US,Fireplace,HEAT
59,148,en_US,Jetted bathtub,RELAX
60,171,en_US,American Express,ZIGNORE
61,177,en_US,Carte Blanche,ZIGNORE
62,179,en_US,Diners Club,ZIGNORE
63,180,en_US,Discover,ZIGNORE
64,183,en_US,JCB International,ZIGNORE
65,184,en_US,MasterCard,ZIGNORE
66,189,en_US,Visa,ZIGNORE
67,190,en_US,Cash not accepted,ZIGNORE
68,200,en_US,Business services,BUSSINES
69,201,en_US,Computer rental,BUSSINES
70,306,en_US,Suitable for children,KIDS
71,312,en_US,Kitchenette,COOKING
72,316,en_US,Air-conditioned public areas,SPECFEAT
73,317,en_US,Fireplace in lobby,SPECFEAT
74,318,en_US,Balcony,BALCONY
75,320,en_US,Patio,BALCONY
76,321,en_US,Barbecue grill(s),GRILL
77,322,en_US,Yard,BALCONY
78,323,en_US,Parking (surcharge),PARKING
79,324,en_US,Coffee/tea in lobby,COFFE
80,325,en_US,Microwave in lobby,SPECFEAT
81,331,en_US,Ceiling fan,AIREACO
82,335,en_US,CD player,MEDIA
83,340,en_US,Washer/dryer,BATHROOMFEATURES
84,341,en_US,Tour assistance,TOURHELP
85,354,en_US,Ski storage,SKI
86,361,en_US,Breakfast available (surcharge),BREAKFAS
87,369,en_US,Laundry facilities,LAUNDRY
88,371,en_US,Spa tub,JACUZZI
89,372,en_US,Television in lobby,ZIGNORE
90,375,en_US,Arcade/game room,TABLEGAME
91,378,en_US,Garden,ZIGNORE
92,385,en_US,Library,MEDIA
93,388,en_US,Lanai,ZIGNORE
94,389,en_US,Video library,MEDIA
95,393,en_US,Clubhouse,CLUB
96,394,en_US,Piano,LIVEMUSIC
97,397,en_US,Pool table,BILLIARD
98,399,en_US,Espresso maker,COFFE
99,400,en_US,Poolside bar,POOLBAR
100,2000,en_US,Swim-up bar,POOLBAR
101,2001,en_US,Free breakfast,BREAKFAST_INCLUDED
102,2002,en_US,Currency exchange,CASACAMB
103,2004,en_US,Coffee shop or café,COFFE
104,2005,en_US,Exhibit space,ZIGNORE
105,2007,en_US,Grocery store,GIFT
106,2008,en_US,Health club,SPA
107,2010,en_US,Nightclub,DISCO
108,2011,en_US,Free parking,PARKING
109,2012,en_US,Parking nearby,PARKING
110,2013,en_US,Self parking,PARKING
111,2014,en_US,Swimming pool - children's,POOL
112,2015,en_US,Room service (24 hours),RSERV
113,2016,en_US,Safe-deposit box at front desk,SAFEDEP
114,2017,en_US,Spa services on site,SPA
115,2018,en_US,Shoe shine,ZIGNORE
116,2019,en_US,Check-in time starts at,ZIGNORE
117,2020,en_US,Check-out time is,ZIGNORE
118,2022,en_US,Resort fee charged at hotel/condo,ZIGNORE
119,2024,en_US,Clock radio,WAKEUP
120,2025,en_US,Designer toiletries,BATHROOMFEATURES
121,2026,en_US,Desk,ZIGNORE
122,2027,en_US,DVD/VCR,DVD
123,2028,en_US,Video-game console,DVD
124,2030,en_US,Climate control,AIREACO
125,2031,en_US,Complimentary weekday newspaper,NEWSPAPER
126,2032,en_US,Patio,BALCONY
127,2034,en_US,Premium bedding,COMFORTFEATURES
128,2035,en_US,Second bathroom,ZIGNORE
129,2036,en_US,Shared bathroom,ZIGNORE
130,2037,en_US,Separate sitting area,ZIGNORE
131,2038,en_US,Sofa bed,ZIGNORE
132,2039,en_US,Pay movies,TV
133,2040,en_US,Voice mail,TELEP
134,2041,en_US,Window opens,ZIGNORE
135,2043,en_US,Multilingual staff,BUSSINES
136,2044,en_US,Rollaway/extra beds available,COMFORTFEATURES
137,2045,en_US,Cribs/infant beds available,PLAYROOM
138,2047,en_US,Complimentary newspapers in lobby,NEWSPAPER
139,2048,en_US,Use of nearby fitness center (complimentary),GYM
140,2049,en_US,Picnic area,PICNIC
141,2050,en_US,Pets not allowed,ZIGNORE
142,2052,en_US,Trouser press,ZIGNORE
143,2053,en_US,Room service,RSERV
144,2054,en_US,Soundproofed rooms,ZIGNORE
145,2055,en_US,Iron/ironing board (on request),LAUNDRY
146,2056,en_US,Turndown service,ZIGNORE
147,2057,en_US,Complimentary bottled water,ZIGNORE
148,2058,en_US,Microwave,COOKING
149,2059,en_US,"Cookware, dishware, and utensils",COOKING
150,2061,en_US,Bathroom phone,TELEP
151,2062,en_US,Bathroom TV,TV
152,2063,en_US,24-hour front desk,ZIGNORE
153,2064,en_US,Front desk (limited hours),ZIGNORE
154,2065,en_US,Business center,CONVENTI
155,2066,en_US,Porter/bellhop,ZIGNORE
156,2067,en_US,Express check-out,ZIGNORE
157,2068,en_US,Doorman/doorwoman,ZIGNORE
158,2069,en_US,Security guard,ZIGNORE
159,2070,en_US,Dry cleaning/laundry service,LAUNDRY
160,2071,en_US,Banquet facilities,CONVENTI
161,2072,en_US,Limo or Town Car service available,TRANSPOR
162,2073,en_US,Medical assistance available,MEDIC
163,2075,en_US,Direct-dial phone,CALLS
164,2076,en_US,Welcome amenities,ZIGNORE
165,2080,en_US,On private beach,BEACH
166,2081,en_US,Premium TV channels,TV
167,2082,en_US,Ski-in/ski-out access,SKI
168,2086,en_US,DVD player,DVD
169,2112,en_US,Casino,CASIN
170,2119,en_US,Ballroom(s),DISCO
171,2120,en_US,Beauty services,BEAUTY
172,2121,en_US,Concierge desk,CONCIER
173,2122,en_US,Elevator/lift attendant,ELEVADOR
174,2123,en_US,Full-service health spa,SPA
175,2124,en_US,Floor butler,CONCIER
176,2128,en_US,Marina on site,MARINA
177,2129,en_US,Massage - spa treatment room(s),MASSAGE
178,2130,en_US,Microwave (on request),COOKING
179,2131,en_US,Multiple small meeting rooms,MEETING
180,2132,en_US,Parking garage,PARKING
181,2133,en_US,Secure parking,PARKING
182,2134,en_US,Steam room,STEAMR
183,2135,en_US,Sauna,SAUNA
184,2136,en_US,Ski shuttle,SKI
185,2137,en_US,Smoke-free property,NONSMOK
186,2138,en_US,Swimming pool - outdoor seasonal,POOL
187,2139,en_US,Technology helpdesk,ZIGNORE
188,2141,en_US,Billiards,BILLIARD
189,2148,en_US,Access via exterior corridors,ZIGNORE
190,2149,en_US,Bidet,BATHROOMFEATURES
191,2150,en_US,Blackout drapes/curtains,COMFORTFEATURES
192,2151,en_US,In-room childcare (surcharge),BABYSITT
193,2152,en_US,Electronic check-out,CHECKINOUTFEAT
194,2153,en_US,Electronic/magnetic keys,ZIGNORE
195,2154,en_US,Extra towels/bedding in room,COMFORTFEATURES
196,2155,en_US,Handheld showerhead,BATHROOMFEATURES
197,2158,en_US,Kitchen,COOKING
198,2159,en_US,Makeup/shaving mirror,ZIGNORE
199,2160,en_US,In-room massage available,MASSAGE
200,2161,en_US,Sewing kit,ZIGNORE
201,2162,en_US,Slippers,COMFORTFEATURES
202,2163,en_US,Umbrellas,ZIGNORE
203,2166,en_US,Shower only,ZIGNORE
204,2167,en_US,Wedding services,WEDDING
205,2168,en_US,Bathtub only,ZIGNORE
206,2170,en_US,Separate bathtub and shower,BATHROOMFEATURES
207,2177,en_US,Express check-in,CHECKINOUTFEAT
208,2178,en_US,Use of nearby fitness center (discount),GYM
209,2179,en_US,Bathroom scale,BATHROOMFEATURES
210,2180,en_US,Hair dryer (on request),BATHROOMFEATURES
211,2181,en_US,Refrigerator (on request),MINIFRID
212,2182,en_US,Remote lighting/drapery/curtain control,COMFORTFEATURES
213,2183,en_US,Shower/tub combination,BATHROOMFEATURES
214,2184,en_US,Turndown service (on request),ZIGNORE
215,2186,en_US,Children's club,PLAYGROU
216,2189,en_US,Local Expert Concierge,CONCIER
217,2348,en_US,Technology support staff,ZIGNORE
218,2349,en_US,Designated smoking areas,NONSMOK
219,2351,en_US,Music library,SPECFEAT
220,2352,en_US,Beach/pool umbrellas,POOLUMBRELLA
221,2353,en_US,Airport transportation,TRANSPOR
222,2361,en_US,Creche (nursery),PLAYROOM
223,2365,en_US,Half board rates available,ZIGNORE
224,2366,en_US,Full board rates available,ZIGNORE
225,2368,en_US,Ergonomic chair,ZIGNORE
226,2370,en_US,Separate dining area,ZIGNORE
227,2371,en_US,Shared bathroom with sink in room,ZIGNORE
228,2372,en_US,Double sink,ZIGNORE
229,2373,en_US,Cordless phone,TELEP
230,2374,en_US,Speakerphone,TELEP
231,2377,en_US,Blender,COOKING
232,2378,en_US,Dishwasher,COOKING
233,2379,en_US,Full-sized refrigerator/freezer,MINIFRID
234,2380,en_US,"Kitchen linens (dishtowels, sponges, etc.)",COOKING
235,2381,en_US,Stovetop,COOKING
236,2384,en_US,On-site medical assistance available,MEDIC
237,2385,en_US,Billiards or pool table,BILLIARD
238,2386,en_US,Grocery/convenience store,GIFT
239,2387,en_US,Tours/ticket assistance,TOURHELP
240,2388,en_US,Media library,MEDIA
241,2389,en_US,In-room safe (laptop compatible),SAFEDEP
242,2390,en_US,Free Wi-Fi,INTERNET
243,2391,en_US,Wireless Internet access - surcharge,INTERNET
244,2392,en_US,Free wired high-speed Internet,WIREINTE
245,2393,en_US,Wired (high-speed) Internet access - surcharge,WIREINTE
246,2394,en_US,Dial-up Internet access - complimentary,WIREINTE
247,2395,en_US,Dial-up Internet access - surcharge,WIREINTE
248,2396,en_US,Satellite TV service,TV
