Clav_Hotel_Buscado,Clav_Hotel_Recomendado,Rank
2,2,1
2,4210,2
2,487,3
2,318,4
2,791,5
2,230,6
2,3261,7
2,384,8
2,3252,9
2,437,10
2,1285,11
2,2033,12
2,3713,13
2,1647,14
2,3035,15
2,1128,16
2,1648,17
2,1649,18
2,1884,19
2,602,20
3,3,1
3,608,2
3,4027,3
3,325,4
3,3938,5
3,398,6
3,5,7
3,23,8
3,1077,9
3,1209,10
3,2128,11
3,16,12
3,4024,13
3,526,14
3,343,15
3,18,16
3,1123,17
3,371,18
3,2902,19
3,174,20
4,4,1
4,1497,2
4,1291,3
4,855,4
4,1538,5
4,1225,6
4,1245,7
4,1666,8
4,849,9
4,1502,10
4,1744,11
4,1511,12
4,875,13
4,2040,14
4,1506,15
4,4144,16
4,856,17
4,1494,18
4,3796,19
4,1501,20
5,5,1
5,1077,2
5,3938,3
5,18,4
5,342,5
5,96,6
5,4027,7
5,3095,8
5,1470,9
5,2902,10
5,174,11
5,412,12
5,343,13
5,1123,14
5,23,15
5,488,16
5,486,17
5,16,18
5,4024,19
5,2128,20
6,6,1
6,2,2
6,226,3
6,1729,4
6,224,5
6,537,6
6,1606,7
6,98,8
6,318,9
6,3988,10
6,386,11
6,3252,12
6,703,13
6,487,14
6,791,15
6,315,16
6,2013,17
6,430,18
6,317,19
6,108,20
9,9,1
9,109,2
9,1617,3
9,2694,4
9,450,5
9,310,6
9,2042,7
9,663,8
9,336,9
9,370,10
9,776,11
9,1959,12
9,640,13
9,143,14
9,2870,15
9,2243,16
9,10,17
9,3901,18
9,2670,19
9,1400,20
10,10,1
10,372,2
10,480,3
10,70,4
10,604,5
10,109,6
10,1400,7
10,310,8
10,2694,9
10,776,10
10,2670,11
10,4286,12
10,2243,13
10,1564,14
10,690,15
10,370,16
10,663,17
10,1617,18
10,143,19
10,336,20
12,3479,1
12,3073,2
12,1540,3
12,2172,4
12,3675,5
12,603,6
12,4187,7
12,3618,8
12,3589,9
12,2826,10
12,3619,11
12,3669,12
12,3997,13
12,3586,14
12,4192,15
12,4268,16
12,3666,17
12,53,18
12,3308,19
12,3617,20
15,15,1
15,690,2
15,776,3
15,604,4
15,4147,5
15,2694,6
15,70,7
15,4119,8
15,310,9
15,663,10
15,2979,11
15,2357,12
15,509,13
15,109,14
15,143,15
15,542,16
15,640,17
15,3901,18
15,1617,19
15,2042,20
16,16,1
16,4024,2
16,1470,3
16,2128,4
16,371,5
16,96,6
16,18,7
16,309,8
16,526,9
16,412,10
16,52,11
16,418,12
16,1123,13
16,174,14
16,2682,15
16,2689,16
16,100,17
16,3521,18
16,355,19
16,631,20
18,18,1
18,3938,2
18,366,3
18,947,4
18,412,5
18,1073,6
18,394,7
18,2682,8
18,1074,9
18,1123,10
18,371,11
18,601,12
18,174,13
18,4285,14
18,60,15
18,343,16
18,486,17
18,1658,18
18,488,19
18,418,20
21,21,1
21,1249,2
21,1309,3
21,1232,4
21,4209,5
21,2669,6
21,32,7
21,2200,8
21,1922,9
21,4245,10
21,3673,11
22,22,1
22,100,2
22,93,3
22,309,4
22,480,5
22,10,6
22,1400,7
22,447,8
22,2670,9
22,259,10
22,109,11
22,70,12
22,3185,13
22,4286,14
22,604,15
22,310,16
22,2694,17
22,3521,18
22,1617,19
22,143,20
23,23,1
23,342,2
23,4027,3
23,5,4
23,16,5
23,4024,6
23,2128,7
23,3938,8
23,488,9
23,1470,10
23,371,11
23,1077,12
23,398,13
23,343,14
23,174,15
23,2902,16
23,412,17
23,18,18
23,3228,19
23,355,20
32,32,1
32,1249,2
32,1232,3
32,1309,4
32,21,5
32,2669,6
32,4209,7
32,2200,8
32,4245,9
32,1922,10
32,3673,11
52,52,1
52,96,2
52,174,3
52,371,4
52,100,5
52,3228,6
52,94,7
52,1470,8
52,23,9
52,2682,10
52,2128,11
52,240,12
52,447,13
52,2689,14
52,1658,15
52,418,16
52,309,17
52,413,18
52,631,19
52,355,20
53,1540,1
53,3397,2
53,1048,3
53,3675,4
53,2172,5
53,3618,6
53,4187,7
53,4268,8
53,3589,9
53,3073,10
53,3479,11
53,3666,12
53,4192,13
53,2826,14
53,3669,15
53,3997,16
53,3586,17
53,603,18
53,3308,19
53,3617,20
58,58,1
58,1159,2
58,2186,3
58,1454,4
58,1575,5
58,1833,6
58,1834,7
58,2908,8
58,2248,9
58,3836,10
58,2306,11
58,3531,12
60,60,1
60,5,2
60,99,3
60,344,4
60,128,5
60,89,6
60,62,7
60,947,8
60,1077,9
60,2549,10
60,342,11
60,1467,12
60,174,13
60,18,14
60,4027,15
60,601,16
60,929,17
60,366,18
60,1468,19
60,1073,20
62,62,1
62,96,2
62,371,3
62,1073,4
62,601,5
62,394,6
62,1074,7
62,2682,8
62,309,9
62,1053,10
62,418,11
62,1658,12
62,3768,13
62,3521,14
62,355,15
62,2689,16
62,480,17
62,22,18
62,227,19
62,407,20
70,70,1
70,2694,2
70,4147,3
70,309,4
70,143,5
70,3521,6
70,663,7
70,690,8
70,604,9
70,109,10
70,100,11
70,310,12
70,776,13
70,259,14
70,1400,15
70,1617,16
70,4286,17
70,2979,18
70,22,19
70,3901,20
73,73,1
73,886,2
73,734,3
73,985,4
73,716,5
73,730,6
73,1076,7
73,902,8
73,1503,9
73,735,10
73,2947,11
73,1799,12
73,880,13
73,1863,14
73,1277,15
73,1566,16
73,951,17
73,843,18
73,1368,19
73,910,20
81,81,1
81,186,2
81,1397,3
81,602,4
81,1268,5
81,1346,6
81,2872,7
81,1610,8
81,406,9
81,1285,10
81,755,11
81,1438,12
81,3528,13
81,311,14
81,756,15
81,2092,16
81,2511,17
81,1539,18
81,469,19
81,357,20
89,89,1
89,947,2
89,344,3
89,128,4
89,99,5
89,326,6
89,325,7
89,2549,8
89,3688,9
89,342,10
89,1467,11
89,1077,12
89,608,13
89,366,14
89,60,15
89,488,16
89,1468,17
89,601,18
89,18,19
89,599,20
93,93,1
93,22,2
93,309,3
93,631,4
93,10,5
93,100,6
93,259,7
93,109,8
93,480,9
93,310,10
93,227,11
93,1400,12
93,447,13
93,1658,14
93,4147,15
93,4286,16
93,2694,17
93,3521,18
93,2243,19
93,604,20
94,94,1
94,52,2
94,5,3
94,96,4
94,240,5
94,3938,6
94,100,7
94,23,8
94,413,9
94,1470,10
94,486,11
94,3228,12
94,2682,13
94,447,14
94,2689,15
94,631,16
94,1400,17
94,22,18
94,355,19
94,418,20
95,95,1
95,100,2
95,96,3
95,52,4
95,1470,5
95,447,6
95,371,7
95,16,8
95,355,9
95,1658,10
95,2689,11
95,418,12
95,22,13
95,10,14
95,305,15
95,375,16
95,1058,17
95,93,18
95,480,19
95,3185,20
96,96,1
96,52,2
96,371,3
96,1470,4
96,1123,5
96,2682,6
96,100,7
96,2128,8
96,16,9
96,309,10
96,447,11
96,355,12
96,1658,13
96,2689,14
96,526,15
96,631,16
96,22,17
96,418,18
96,3521,19
96,480,20
98,98,1
98,226,2
98,108,3
98,384,4
98,186,5
98,1027,6
98,437,7
98,1128,8
98,1285,9
98,2033,10
98,81,11
98,602,12
98,3035,13
98,1268,14
98,311,15
98,406,16
98,3636,17
98,2109,18
98,1864,19
98,1397,20
99,99,1
99,5,2
99,947,3
99,2549,4
99,18,5
99,62,6
99,1468,7
99,1467,8
99,60,9
99,412,10
99,366,11
99,4027,12
99,4285,13
99,2682,14
99,23,15
99,395,16
99,394,17
99,601,18
99,1123,19
99,174,20
100,100,1
100,447,2
100,22,3
100,309,4
100,631,5
100,480,6
100,10,7
100,1658,8
100,227,9
100,604,10
100,93,11
100,3185,12
100,1400,13
100,70,14
100,3521,15
100,109,16
100,4286,17
100,2694,18
100,259,19
100,4147,20
102,102,1
102,1055,2
102,1689,3
102,1325,4
102,150,5
102,441,6
102,1633,7
102,694,8
102,1650,9
102,590,10
102,683,11
102,144,12
102,1703,13
102,119,14
102,1338,15
102,1213,16
102,1114,17
102,518,18
102,659,19
102,1993,20
103,103,1
103,361,2
103,208,3
103,588,4
103,446,5
103,731,6
103,362,7
103,401,8
103,2018,9
103,609,10
103,2944,11
103,610,12
103,399,13
103,400,14
103,1132,15
103,651,16
103,157,17
103,720,18
103,534,19
103,587,20
104,104,1
104,3900,2
104,1750,3
104,2902,4
104,3938,5
104,4167,6
104,52,7
104,95,8
104,96,9
104,100,10
104,1462,11
104,3984,12
104,1470,13
104,3228,14
104,94,15
104,486,16
104,447,17
104,2689,18
104,10,19
104,1654,20
105,105,1
105,195,2
105,850,3
105,746,4
105,1810,5
105,736,6
105,115,7
105,981,8
105,1416,9
105,1493,10
105,1080,11
105,1528,12
105,1118,13
105,723,14
105,4221,15
105,977,16
105,4037,17
105,3830,18
106,106,1
106,3535,2
106,2200,3
106,4209,4
106,3673,5
106,21,6
106,2669,7
106,1309,8
106,1249,9
106,1232,10
107,1877,1
107,4010,2
107,2732,3
107,206,4
107,4011,5
107,1007,6
107,667,7
107,2869,8
107,4275,9
107,1569,10
107,2691,11
107,872,12
107,6630,13
107,3186,14
107,4237,15
107,1645,16
107,3856,17
107,988,18
107,830,19
107,3281,20
108,108,1
108,98,2
108,384,3
108,226,4
108,186,5
108,1027,6
108,2033,7
108,81,8
108,3035,9
108,1539,10
108,311,11
108,406,12
108,1864,13
108,4023,14
108,425,15
108,2109,16
108,755,17
108,2494,18
108,3636,19
108,1346,20
109,109,1
109,450,2
109,2870,3
109,663,4
109,3476,5
109,2243,6
109,542,7
109,1959,8
109,336,9
109,370,10
109,2793,11
109,3472,12
109,2357,13
109,509,14
109,118,15
109,3447,16
109,4198,17
109,3806,18
109,3462,19
109,4233,20
115,115,1
115,981,2
115,1416,3
115,850,4
115,736,5
115,746,6
115,1810,7
115,195,8
115,1080,9
115,4221,10
115,105,11
115,1493,12
115,723,13
115,1118,14
115,1528,15
115,977,16
115,4037,17
115,3830,18
118,118,1
118,109,2
118,370,3
118,640,4
118,604,5
118,143,6
118,1617,7
118,509,8
118,336,9
118,9,10
118,2670,11
118,450,12
118,2243,13
118,3901,14
118,690,15
118,4286,16
118,3476,17
118,663,18
118,4198,19
118,3447,20
119,119,1
119,1689,2
119,441,3
119,683,4
119,518,5
119,644,6
119,1338,7
119,1388,8
119,946,9
119,1217,10
119,1993,11
119,422,12
119,1325,13
119,1633,14
119,1201,15
119,150,16
119,1661,17
119,1336,18
119,718,19
119,1114,20
121,121,1
121,334,2
121,476,3
121,390,4
121,225,5
121,1803,6
121,3155,7
121,191,8
121,1694,9
121,3053,10
121,477,11
121,1131,12
121,228,13
121,4255,14
121,138,15
121,2346,16
121,3288,17
121,848,18
121,3756,19
121,2724,20
122,122,1
122,579,2
122,581,3
122,580,4
122,578,5
122,571,6
122,237,7
122,2021,8
122,560,9
122,570,10
122,612,11
122,1709,12
122,198,13
122,479,14
122,582,15
122,605,16
122,2096,17
122,1144,18
122,377,19
122,592,20
124,124,1
124,430,2
124,358,3
124,317,4
124,2884,5
124,351,6
124,318,7
124,508,8
124,245,9
124,411,10
124,125,11
124,349,12
124,426,13
124,3252,14
124,437,15
124,384,16
124,1128,17
124,1545,18
124,3261,19
124,602,20
125,125,1
125,508,2
125,124,3
125,318,4
125,3252,5
125,437,6
125,384,7
125,3261,8
125,1128,9
125,602,10
125,2033,11
125,1285,12
125,3713,13
125,3035,14
125,1647,15
125,1397,16
125,4023,17
125,3636,18
125,3517,19
125,1864,20
127,127,1
127,2021,2
127,612,3
127,583,4
127,198,5
127,2958,6
127,2078,7
127,560,8
127,592,9
127,576,10
127,1262,11
127,559,12
127,1914,13
127,562,14
127,575,15
127,567,16
127,1350,17
127,570,18
127,2754,19
127,2797,20
128,128,1
128,18,2
128,344,3
128,1077,4
128,947,5
128,2549,6
128,62,7
128,366,8
128,99,9
128,5,10
128,412,11
128,4027,12
128,1123,13
128,1073,14
128,929,15
128,1467,16
128,342,17
128,394,18
128,1468,19
128,3095,20
138,138,1
138,334,2
138,121,3
138,191,4
138,477,5
138,476,6
138,225,7
138,1803,8
138,1694,9
138,390,10
138,541,11
138,228,12
138,3053,13
138,1131,14
138,529,15
138,762,16
138,3231,17
138,2899,18
138,848,19
138,3288,20
139,139,1
139,1633,2
139,659,3
139,926,4
139,689,5
139,1338,6
139,422,7
139,842,8
139,1213,9
139,1114,10
139,683,11
139,1689,12
139,1703,13
139,1217,14
139,1650,15
139,518,16
139,1993,17
139,644,18
139,646,19
139,1335,20
142,142,1
142,2879,2
142,638,3
142,720,4
142,721,5
142,665,6
142,2970,7
142,364,8
142,2370,9
142,706,10
142,719,11
142,722,12
142,1145,13
142,3654,14
142,3763,15
142,2704,16
142,3202,17
142,3204,18
142,3208,19
142,2516,20
143,143,1
143,2694,2
143,1617,3
143,109,4
143,690,5
143,3901,6
143,604,7
143,310,8
143,776,9
143,2688,10
143,1400,11
143,450,12
143,2042,13
143,663,14
143,4286,15
143,1959,16
143,3476,17
143,2793,18
143,2670,19
143,2870,20
144,144,1
144,644,2
144,1689,3
144,1650,4
144,441,5
144,1703,6
144,1325,7
144,150,8
144,1338,9
144,1336,10
144,683,11
144,718,12
144,1213,13
144,946,14
144,119,15
144,518,16
144,1633,17
144,1661,18
144,1201,19
144,1388,20
145,145,1
145,619,2
145,688,3
145,1327,4
145,980,5
145,1631,6
145,161,7
145,3115,8
145,1283,9
145,2443,10
145,1296,11
145,1710,12
145,1632,13
145,1295,14
145,3365,15
145,3380,16
145,1500,17
145,1200,18
145,1204,19
145,1294,20
150,150,1
150,1689,2
150,1325,3
150,1338,4
150,683,5
150,144,6
150,441,7
150,644,8
150,518,9
150,119,10
150,1633,11
150,1650,12
150,659,13
150,422,14
150,1213,15
150,1703,16
150,1114,17
150,139,18
150,1993,19
150,1217,20
151,151,1
151,504,2
151,1486,3
151,956,4
151,2189,5
151,515,6
151,512,7
151,4292,8
151,1330,9
151,3894,10
151,4290,11
151,3423,12
151,4093,13
151,2856,14
151,493,15
151,4002,16
151,535,17
151,3500,18
151,1063,19
151,492,20
152,152,1
152,3769,2
152,852,3
152,1441,4
152,2038,5
152,1357,6
152,4316,7
152,1406,8
152,3837,9
152,892,10
152,1445,11
152,953,12
152,3577,13
152,2714,14
152,2084,15
152,4160,16
152,4322,17
152,2868,18
153,153,1
153,591,2
153,1719,3
153,421,4
153,481,5
153,687,6
153,511,7
153,1507,8
153,408,9
153,1172,10
153,775,11
153,3649,12
153,3869,13
153,2235,14
153,3385,15
153,771,16
153,1107,17
153,2234,18
153,1167,19
153,3743,20
157,157,1
157,731,2
157,446,3
157,208,4
157,362,5
157,610,6
157,475,7
157,361,8
157,651,9
157,401,10
157,399,11
157,103,12
157,532,13
157,534,14
157,400,15
157,710,16
157,223,17
157,2003,18
157,720,19
157,364,20
161,161,1
161,688,2
161,145,3
161,1296,4
161,980,5
161,1283,6
161,1327,7
161,2443,8
161,1631,9
161,619,10
161,1632,11
161,3115,12
161,1295,13
161,1710,14
161,1500,15
161,1204,16
161,1294,17
161,3380,18
161,3365,19
161,3213,20
163,163,1
163,3298,2
163,2355,3
163,2166,4
163,2949,5
163,1434,6
163,2158,7
163,1601,8
163,4208,9
163,1607,10
163,3329,11
173,173,1
173,1952,2
173,3043,3
173,845,4
173,975,5
173,1264,6
173,4226,7
173,698,8
173,4274,9
173,3151,10
173,714,11
173,1197,12
173,3715,13
173,3741,14
173,1332,15
173,3810,16
174,174,1
174,3938,2
174,18,3
174,371,4
174,3228,5
174,4285,6
174,240,7
174,601,8
174,412,9
174,23,10
174,2128,11
174,486,12
174,2682,13
174,488,14
174,1470,15
174,343,16
174,16,17
174,4024,18
174,366,19
174,394,20
186,186,1
186,1128,2
186,437,3
186,81,4
186,406,5
186,756,6
186,602,7
186,3035,8
186,311,9
186,1285,10
186,1346,11
186,1539,12
186,755,13
186,1599,14
186,1995,15
186,1268,16
186,425,17
186,1864,18
186,3528,19
186,489,20
188,188,1
188,4211,2
188,541,3
188,848,4
188,629,5
188,1694,6
188,1838,7
188,2346,8
188,762,9
188,529,10
188,3756,11
188,3328,12
188,3322,13
188,2896,14
188,4022,15
188,1021,16
188,2256,17
188,3053,18
188,225,19
188,543,20
191,191,1
191,477,2
191,1694,3
191,476,4
191,390,5
191,225,6
191,1803,7
191,3053,8
191,529,9
191,762,10
191,541,11
191,848,12
191,4255,13
191,1131,14
191,1021,15
191,2899,16
191,3155,17
191,3288,18
191,3756,19
191,2256,20
193,193,1
193,955,2
193,822,3
193,938,4
193,1792,5
193,194,6
193,712,7
193,825,8
193,2011,9
193,1548,10
193,1813,11
193,2349,12
193,982,13
193,821,14
193,1576,15
193,1691,16
193,882,17
193,2852,18
193,2844,19
193,1536,20
194,194,1
194,955,2
194,822,3
194,1813,4
194,938,5
194,2011,6
194,1548,7
194,193,8
194,825,9
194,2852,10
194,2844,11
194,1792,12
194,982,13
194,2349,14
194,882,15
194,3846,16
194,1576,17
194,3813,18
194,1508,19
194,3622,20
195,195,1
195,850,2
195,105,3
195,746,4
195,736,5
195,981,6
195,1416,7
195,115,8
195,1080,9
195,1493,10
195,1810,11
195,1528,12
195,723,13
195,1118,14
195,4221,15
195,977,16
195,4037,17
195,3830,18
198,198,1
198,605,2
198,2021,3
198,612,4
198,377,5
198,127,6
198,582,7
198,583,8
198,570,9
198,2958,10
198,2078,11
198,568,12
198,3930,13
198,560,14
198,592,15
198,562,16
198,2096,17
198,576,18
198,567,19
198,1262,20
203,203,1
203,1673,2
203,460,3
203,452,4
203,466,5
203,404,6
203,457,7
203,442,8
203,263,9
203,2928,10
203,593,11
203,443,12
203,2372,13
203,216,14
203,611,15
203,600,16
203,547,17
203,453,18
203,393,19
203,456,20
206,206,1
206,1877,2
206,970,3
206,702,4
206,1007,5
206,667,6
206,2732,7
206,1634,8
206,4011,9
206,4275,10
206,4010,11
206,1569,12
206,3186,13
206,6630,14
206,2869,15
206,872,16
206,107,17
206,4237,18
206,2691,19
206,3281,20
208,208,1
208,361,2
208,103,3
208,362,4
208,588,5
208,731,6
208,401,7
208,446,8
208,2944,9
208,399,10
208,610,11
208,1132,12
208,609,13
208,157,14
208,2018,15
208,400,16
208,651,17
208,534,18
208,720,19
208,3467,20
216,216,1
216,460,2
216,404,3
216,611,4
216,547,5
216,452,6
216,442,7
216,263,8
216,600,9
216,457,10
216,393,11
216,264,12
216,389,13
216,453,14
216,521,15
216,455,16
216,3404,17
216,491,18
216,2233,19
216,403,20
217,217,1
217,208,2
217,446,3
217,475,4
217,531,5
217,731,6
217,401,7
217,103,8
217,361,9
217,586,10
217,399,11
217,610,12
217,588,13
217,362,14
217,536,15
217,3274,16
217,157,17
217,400,18
217,609,19
217,587,20
223,223,1
223,446,2
223,401,3
223,731,4
223,157,5
223,208,6
223,361,7
223,610,8
223,362,9
223,651,10
223,103,11
223,399,12
223,710,13
223,532,14
223,720,15
223,534,16
223,1132,17
223,2944,18
223,803,19
223,638,20
224,224,1
224,317,2
224,1606,3
224,411,4
224,430,5
224,318,6
224,791,7
224,124,8
224,245,9
224,230,10
224,350,11
224,351,12
224,125,13
224,349,14
224,384,15
224,3261,16
224,437,17
224,3252,18
224,1285,19
224,1128,20
225,225,1
225,3053,2
225,529,3
225,762,4
225,2346,5
225,848,6
225,1131,7
225,1694,8
225,3756,9
225,1021,10
225,1838,11
225,4022,12
225,707,13
225,3936,14
225,543,15
225,3322,16
225,2256,17
225,4211,18
225,3922,19
225,629,20
226,226,1
226,318,2
226,98,3
226,537,4
226,316,5
226,125,6
226,2013,7
226,124,8
226,419,9
226,108,10
226,384,11
226,312,12
226,433,13
226,3261,14
226,437,15
226,3252,16
226,1027,17
226,186,18
226,1128,19
226,1285,20
227,227,1
227,371,2
227,355,3
227,3768,4
227,96,5
227,447,6
227,309,7
227,100,8
227,2689,9
227,93,10
227,22,11
227,259,12
227,480,13
227,631,14
227,372,15
227,1073,16
227,3185,17
227,10,18
227,3521,19
227,2694,20
228,228,1
228,334,2
228,390,3
228,3288,4
228,2899,5
228,121,6
228,476,7
228,2346,8
228,3053,9
228,225,10
228,477,11
228,2724,12
228,529,13
228,762,14
228,3231,15
228,541,16
228,191,17
228,1694,18
228,1803,19
228,2526,20
230,230,1
230,508,2
230,4210,3
230,384,4
230,426,5
230,3261,6
230,3252,7
230,1285,8
230,429,9
230,2033,10
230,602,11
230,1268,12
230,3713,13
230,1545,14
230,1128,15
230,1864,16
230,4023,17
230,2037,18
230,1647,19
230,1397,20
233,233,1
233,703,2
233,1606,3
233,98,4
233,226,5
233,224,6
233,318,7
233,1729,8
233,411,9
233,315,10
233,791,11
233,386,12
233,316,13
233,317,14
233,537,15
233,350,16
233,108,17
233,245,18
233,430,19
233,2013,20
235,235,1
235,1037,2
235,2926,3
235,1411,4
235,1580,5
235,1378,6
235,1737,7
235,2229,8
235,1192,9
235,894,10
235,1953,11
235,3966,12
235,1916,13
235,3372,14
235,1556,15
235,1214,16
235,3668,17
235,1034,18
235,3788,19
235,1001,20
237,237,1
237,580,2
237,2021,3
237,605,4
237,1144,5
237,1709,6
237,612,7
237,479,8
237,198,9
237,570,10
237,560,11
237,122,12
237,127,13
237,377,14
237,568,15
237,582,16
237,2958,17
237,583,18
237,2096,19
237,2078,20
239,239,1
239,109,2
239,310,3
239,2670,4
239,776,5
239,4286,6
239,604,7
239,450,8
239,2357,9
239,509,10
239,2694,11
239,143,12
239,10,13
239,3476,14
239,663,15
239,690,16
239,336,17
239,1617,18
239,1400,19
239,542,20
240,240,1
240,52,2
240,174,3
240,5,4
240,3938,5
240,94,6
240,96,7
240,18,8
240,371,9
240,4027,10
240,413,11
240,1470,12
240,3228,13
240,486,14
240,2682,15
240,2128,16
240,23,17
240,100,18
240,16,19
240,4024,20
242,242,1
242,525,2
242,438,3
242,2540,4
242,265,5
242,420,6
242,557,7
242,3097,8
242,692,9
242,368,10
242,806,11
242,3285,12
242,840,13
242,1913,14
242,669,15
242,801,16
242,3883,17
242,1083,18
242,3504,19
242,1878,20
245,245,1
245,224,2
245,1606,3
245,317,4
245,350,5
245,318,6
245,430,7
245,125,8
245,411,9
245,351,10
245,124,11
245,349,12
245,4210,13
245,426,14
245,3261,15
245,384,16
245,3252,17
245,437,18
245,2033,19
245,1128,20
251,251,1
251,340,2
251,2022,3
251,2131,4
251,373,5
251,725,6
251,1085,7
251,3294,8
251,3184,9
251,3300,10
251,1092,11
251,1899,12
251,3880,13
251,2774,14
251,2201,15
251,3057,16
251,2203,17
251,2544,18
251,3799,19
256,256,1
256,461,2
256,3278,3
256,1971,4
256,1904,5
256,2086,6
256,765,7
256,1944,8
